year,t_bg_N_c_u5,t_bg_N_fam_c_u5,county,adj_supply_any,adj_supply_ccc,adj_supply_hr,adj_supply_public,totcost_any,totcost_ccc,totcost_hr,totcost_public,quality_premium,N_county,share_hr,rank_adj_supply_any,rank_adj_supply_ccc,rank_adj_supply_hr,rank_adj_supply_public,rank_share_hr,rank_totcost_any,rank_totcost_ccc,rank_totcost_hr,rank_totcost_public,rank_quality_premium
2016,2996,2195,Meeker,.46970958,.13026597,.11446361,.072398223,103.48658,197.61609,162.82886,15.097452,1.6418737,87,.24369018,68,33,19,52,14,27,36,33,36,66
2017,2996,2195,Meeker,.45742249,.13026597,.15309505,.083273306,117.95666,265.54755,211.85252,17.486956,1.7591453,87,.33469069,71,36,15,56,7,57,51,64,30,74
2018,2996,2195,Meeker,.43909001,.15045816,.19790648,.068817072,128.83023,214.86375,192.65651,12.370349,1.567559,87,.45071959,70,33,3,56,1,62,53,64,42,80
2012,4073,2943,Mille Lacs,.50148767,.24342008,,.0092717037,123.13113,173.54269,,112.57952,,87,,58,4,,76,,67,8,,73,
2013,4073,2943,Mille Lacs,.62617534,.24384461,.041596595,.1002503,128.48863,155.3298,164.44508,50.595665,1.3490475,87,.06642963,42,6,17,21,18,67,29,26,80,25
2014,4073,2943,Mille Lacs,.54544199,.23642035,.041596595,.044839498,121.3569,155.98134,164.73598,15.54049,1.3651563,87,.076262183,61,13,36,69,29,65,24,32,56,31
2015,4073,2943,Mille Lacs,.52730411,.24073863,.041440412,.044839498,122.24249,156.53986,169.946,15.54049,1.4080776,87,.078589208,60,10,37,69,33,66,25,43,60,52
2016,4073,2943,Mille Lacs,.53859633,.26495087,.05209586,.055325683,136.81931,181.01199,167.58473,37.531956,1.2199737,87,.09672524,52,6,45,65,44,70,21,37,73,31
2017,4073,2943,Mille Lacs,.4877944,.23923388,.098523431,.055334676,123.16019,181.50473,169.32683,44.028133,1.3313123,87,.20197737,61,12,27,71,24,63,6,39,64,51
2018,4073,2943,Mille Lacs,.46802813,.23049474,.088121265,.055334676,128.80632,166.27475,178.34988,15.748074,1.3438636,87,.18828198,63,14,22,67,20,61,15,57,64,63
2012,3652,3135,Morrison,.51371932,.02227661,,.060785249,100.4174,295.09238,,91.930656,,87,,55,71,,40,,34,60,,62,
2013,3652,3135,Morrison,.5702219,.029256774,.0046456824,.040575087,107.78592,160.34599,148.42311,31.555347,1.3153619,87,.0081471484,53,71,41,51,40,36,38,16,71,23
2014,3652,3135,Morrison,.63622755,.05874683,.048868153,.076230168,105.19693,159.71448,162.98744,18.123573,1.4405603,87,.076809235,44,62,31,51,28,45,29,28,70,45
2015,3652,3135,Morrison,.57525009,.053163283,.095671229,.073307127,104.58543,173.66745,155.7682,17.690386,1.369472,87,.16631241,47,61,14,51,14,43,42,35,68,47
2016,3652,3135,Morrison,.54853082,.049358595,.11213055,.070619829,112.16292,206.32161,164.08789,37.728153,1.3430986,87,.20441979,50,63,20,54,20,44,47,35,74,45
2017,3652,3135,Morrison,.57103318,.073317096,.072368667,.083798096,108.88941,220.82933,183.39551,49.92202,1.5600165,87,.12673286,46,55,43,55,43,45,29,50,67,66
2018,3652,3135,Morrison,.50680971,.046815272,.058595017,.091687173,111.5013,194.76816,158.00995,17.857986,1.2807637,87,.11561542,52,60,49,40,46,42,37,37,67,58
2012,1838,1276,Mower,.40220529,.094774425,,.010078241,115.33728,163.0565,,18.917124,,87,,80,44,,74,,60,5,,10,
2013,1838,1276,Mower,.42179462,.096497886,1.1943199e-09,.010078241,119.23833,149.09229,285.08658,13.144032,2.3496621,87,2.8315199e-09,80,45,48,73,48,60,21,75,8,77
2014,1838,1276,Mower,.50571817,.13279255,1.1943199e-09,.066360861,115.98208,175.3436,240.34857,10.009897,1.9058299,87,2.3616313e-09,75,37,59,59,59,59,46,68,16,70
2015,1838,1276,Mower,.44448286,.082556754,.000040808827,.068692878,107.816,150.2943,228.79582,10.246872,1.8929263,87,.000091811926,80,49,61,57,61,50,21,74,23,79
2016,1838,1276,Mower,.41160953,.076040216,.060132161,.074342661,106.37335,232.41536,226.30287,13.368959,2.251663,87,.1460903,82,53,40,51,31,33,57,64,28,75
2017,1838,1276,Mower,.39903092,.082461029,.06483791,.086758561,106.63577,194.22646,137.35538,9.2576942,1.0905381,87,.16248843,84,52,48,54,35,41,12,22,11,18
2018,1838,1276,Mower,.3789258,.076040216,.063308425,.087857299,108.70322,173.47792,151.10762,8.8869133,1.1520894,87,.16707341,81,51,43,44,23,38,19,28,17,43
2012,510,366,Murray,.76535994,.15259224,,6.5655146e-15,99.592316,281.63037,,314.01248,,87,,17,22,,85,,29,57,,83,
2013,510,366,Murray,.83211714,.15259224,0,6.5655146e-15,106.92671,163.39966,236.01489,72.843689,2.2955332,87,0,14,21,70.5,84,70.5,34,43,55,86,75
2014,510,366,Murray,.86141258,.15259224,0,.052889563,101.66241,154.3284,224.57764,25.378727,2.1937566,87,0,16,29,76.5,65,76.5,36,23,60,80,78
2015,510,366,Murray,.7285794,.15133156,0,.052929737,106.94372,151.62874,169.43114,24.877092,1.478194,87,0,28,27,79.5,65,79.5,47,22,42,81,60
2016,510,366,Murray,.7492739,.15255037,.00011776821,.10755026,111.59337,372.52948,535.06842,39.81522,5.3994203,87,.00015717644,15,27,72,37,72,42,80,82,76,84
2017,510,366,Murray,.71592468,.15255037,.00056166376,.10755026,103.17722,329.47141,412.60608,58.738056,3.7470896,87,.00078452914,14,30,76,41,76,38,63,82,74,83
2018,510,366,Murray,.70730346,.15255037,.0010430898,.052929737,113.63754,166.87787,122.78585,23.691633,.79011351,87,.0014747415,11,30,74,68,74,47,16,8,81,3
2012,2078,1525,Nicollet,.75154787,.31647298,,.0099720396,133.83415,166.13948,,53.028645,,87,,20,1,,75,,74,6,,41,
2013,2078,1525,Nicollet,.70449281,.27047688,.0069647087,.0099077364,136.36949,166.14166,144.64539,22.932905,1.052307,87,.0098861316,31,3,39,74,39,73,45,15,56,6
2014,2078,1525,Nicollet,.7181288,.32304367,.083520435,.021046834,136.89236,166.50264,165.65559,15.625111,1.2131108,87,.11630286,36,3,17,81,19,75,36,33,58,20
2015,2078,1525,Nicollet,.71668625,.31338406,.053234313,.049753949,135.12511,173.36615,132.09598,8.9741955,.92186332,87,.074278407,31,3,29,67,35,75,41,12,12,2
2016,2078,1525,Nicollet,.63504851,.25011638,.016793417,.049693219,139.36639,186.05711,152.37279,13.559,1.0036882,87,.026444305,37,8,66,70,66,72,25,24,29,4
2017,2078,1525,Nicollet,.68355513,.33025169,.046304759,.065409072,135.84541,187.86084,141.43892,13.660617,.96481299,87,.067741074,21,4,57,66,60,74,8,25,26,6
2018,2078,1525,Nicollet,.57682329,.26455691,.034729294,.063125461,143.02965,191.62892,159.96951,9.2518368,1.0318052,87,.060207859,34,10,66,61,66,69,33,42,19,18
2012,1791,1162,Nobles,.34506696,.047044352,,.041837107,85.48983,185.07675,,65.096352,,87,,85,60,,52,,4,14,,50,
2013,1791,1162,Nobles,.33217594,.047044352,0,.041837107,87.76416,124.98724,331.43863,14.867265,3.3628008,87,0,87,61,70.5,49,70.5,5,10,82,21,85
2014,1791,1162,Nobles,.3664614,.058096319,0,.06632866,88.428307,140.0209,228.31436,12.424265,2.2201331,87,0,86,63,76.5,60,76.5,12,14,63,36,79
2015,1791,1162,Nobles,.37191817,.047137722,.005952816,.07741522,88.181969,127.16399,119.39005,12.354294,1.0992254,87,.016005713,86,63,56,49,55,9,4,5,38,10
2016,1791,1162,Nobles,.42512086,.052413333,.042862598,.13022272,115.29562,301.35962,223.3479,19.624353,1.5695387,87,.1008245,81,62,51,30,40,46,78,62,47,60
2017,1791,1162,Nobles,.41766924,.052413333,.040325377,.14709093,79.666237,183.8638,103.27555,38.306252,.95589125,87,.096548595,81,61,61,23,52,4,7,3,60,5
2018,1791,1162,Nobles,.36176538,.060466807,.043689661,.080926128,104.38538,172.85771,149.10669,11.979398,1.1962976,87,.12076794,83,56,61,47,45,32,18,27,40,48
2012,352,273,Norman,.8113268,.23958302,,.16390787,94.062904,294.86429,,124.56133,,87,,11,5,,9,,14,59,,75,
2013,352,273,Norman,.86765468,.23958302,.23958302,.16390787,98.044792,113.42443,114.88172,27.898525,1.0205456,87,.27612716,11,7,1,10,1,17,4,4,65,4
2014,352,273,Norman,.8731783,.32312846,.23958302,.10775862,109.80658,150.08145,109.53965,44.333645,.91567165,87,.27438042,14,2,2,37,4,50,20,3,87,3
2015,352,273,Norman,.86156034,.082146473,5.2976359e-15,.36781973,95.822815,198.01358,176.64404,17.03248,1.4386272,87,6.1488853e-15,9,50,68,3,68,23,60,53,67,54
2016,352,273,Norman,.7809152,.083545454,9.0477972e-14,.309374,84.384262,67.51593,127.90033,59.482235,1.6844945,87,1.1586146e-13,12,50,76,3,76,7,1,3,81,67
2017,352,273,Norman,.80548912,.083545454,6.0317989e-14,.42416921,81.159492,260.25977,133.55212,21.544544,.88867718,87,7.4883676e-14,7,51,79,3,79,7,45,19,37,3
2018,352,273,Norman,.86158186,.083545454,.083545454,.42416921,91.547241,178.99313,173.19939,17.014826,1.4436377,87,.096967518,4,49,27,2,49,9,21,51,65,74
2012,1549,1049,Olmsted,.76549405,.2218568,,.096298128,156.85649,228.33406,,11.112873,,87,,16,10,,23,,80,40,,2,
2013,1549,1049,Olmsted,.76046765,.21472037,.10765798,.098554961,160.82481,233.86148,250.03514,9.3198938,1.531364,87,.14156812,25,11,7,24,9,80,77,63,1,39
2014,1549,1049,Olmsted,.79712319,.28748003,.19351982,.10234515,161.78807,227.44012,227.48038,8.1119385,1.4088483,87,.24277279,22,7,4,41,5,80,75,62,5,39
2015,1549,1049,Olmsted,.78376806,.29952398,.21016058,.096290275,170.81868,239.25662,242.72234,7.9697561,1.5058805,87,.2681413,17,4,1,37,3,80,74,76,5,62
2016,1549,1049,Olmsted,.71894592,.27294141,.1724304,.10179985,173.61655,255.55954,253.16954,8.2078466,1.4976132,87,.23983778,20,5,5,40,15,80,63,68,9,55
2017,1549,1049,Olmsted,.71107352,.28449556,.19029175,.10765842,182.08022,260.70142,243.41933,8.1093473,1.3469082,87,.26761192,15,7,4,39,17,80,47,70,6,54
2018,1549,1049,Olmsted,.70886755,.29443747,.18747038,.1203807,194.6153,284.27158,281.04663,7.8081436,1.4828219,87,.26446462,10,7,5,30,13,80,77,75,7,76
2012,2630,2129,Otter Tail,.45425737,.04564444,,.048257153,105.01194,299.97964,,75.043022,,87,,72,62,,48,,39,64,,56,
2013,2630,2129,Otter Tail,.49899811,.039746646,.00009576157,.048257153,109.25779,159.55179,193.66991,20.65387,1.6251732,87,.00019190769,66,63,44,46,44,41,36,37,51,46
2014,2630,2129,Otter Tail,.54134768,.03985719,.002552401,.10683825,99.041069,159.43419,194.25594,14.57081,1.628582,87,.0047149016,63,67,53,39,53,31,27,44,51,56
2015,2630,2129,Otter Tail,.4789497,.034281068,.0083614234,.078878514,102.62776,163.78961,143.99074,14.764424,1.2017874,87,.017457832,74,69,54,48,53,38,31,23,54,23
2016,2630,2129,Otter Tail,.46415129,.038921002,.023743371,.083466932,109.83244,159.23398,151.34232,33.263638,1.1654084,87,.051154379,70,66,60,48,57,37,8,22,69,23
2017,2630,2129,Otter Tail,.47655872,.032455124,.072551765,.12560385,102.60735,307.93903,182.11707,57.518616,1.4946327,87,.15224098,62,69,42,31,40,37,60,49,73,64
2018,2630,2129,Otter Tail,.51194119,.043550156,.036062635,.15788592,102.83103,184.73024,154.30736,15.082883,1.1465452,87,.070442922,49,62,64,15,62,26,28,33,58,41
2012,1017,722,Pennington,.74495435,.11668392,,.021392418,108.09014,225.37146,,106.3184,,87,,21,30,,64,,46,36,,69,
2013,1017,722,Pennington,.76627982,.11668392,0,.021392418,111.78535,130.95561,236.0929,17.090155,2.061337,87,0,23,33,70.5,63,70.5,49,12,56,33,66
2014,1017,722,Pennington,.76043433,.11668392,0,.041048463,109.83269,133.14067,163.4826,13.562369,1.4267941,87,0,28,40,76.5,72,76.5,51,9,30,47,40
2015,1017,722,Pennington,.75422454,.12705782,0,.043168195,112.53562,141.53395,175.4826,13.562369,1.4935743,87,0,22,33,79.5,72,79.5,55,15,52,49,61
2016,1017,722,Pennington,.71991873,.11356831,.01112678,.058874246,120.59517,279.17868,160.99062,22.454943,1.2889745,87,.015455605,19,39,69,63,69,50,72,31,54,38
2017,1017,722,Pennington,.7026664,.11356831,.011988208,.064560615,117.24803,242.28879,121.57063,39.298401,.96621424,87,.017061023,18,42,72,67,72,55,40,9,61,7
2018,1017,722,Pennington,.69824827,.11356831,.011988208,.04124359,124.48956,161.05951,137.57062,15.199841,1.0468481,87,.017168976,13,38,72,74,72,55,10,18,59,23
2012,3387,2386,Pine,.34401587,.018208941,,.012837441,126.77179,227.88976,,143.49123,,87,,86,72,,71,,71,39,,77,
2013,3387,2386,Pine,.3808606,.018208941,.029282467,.014377935,129.96793,153.96266,159.57832,65.518227,1.2092743,87,.076885,82,74,21,69,17,70,28,23,84,16
2014,3387,2386,Pine,.41763917,.021424949,.050329093,.074429668,113.84671,137.53752,145.30441,18.737127,1.1385161,87,.12050856,82,72,28,53,18,55,12,20,73,13
2015,3387,2386,Pine,.375393,.021421982,.050326124,.07440047,116.46663,147.76833,147.48715,18.845682,1.1054766,87,.1340625,85,71,30,50,18,59,20,28,74,11
2016,3387,2386,Pine,.39458382,.053454466,.083951749,.063103519,120.09641,190.55566,166.68637,38.668819,1.5894279,87,.21276024,85,61,30,58,19,49,31,36,75,62
2017,3387,2386,Pine,.36033294,.031011682,.071196958,.074949667,113.30388,306.1004,179.31769,35.991718,1.3802199,87,.1975866,85,70,44,59,25,51,59,47,56,56
2018,3387,2386,Pine,.35295901,.018208943,.048098404,.078711703,115.32841,210.65872,193.12386,18.279768,1.4066517,87,.13627192,85,71,56,50,39,48,48,65,71,70
2012,386,278,Pipestone,.5552879,.069867902,,5.7123558e-16,105.13768,211.59045,,389.23477,,87,,47,54,,86,,40,28,,86,
2013,386,278,Pipestone,.64822102,.069867902,0,5.7123558e-16,109.64471,155.5419,251.44061,56.934288,2.3095915,87,0,38,55,70.5,85,70.5,43,30,64,83,76
2014,386,278,Pipestone,.72942346,.069867902,0,.13156675,88.809853,156.63965,243.19865,16.143703,2.2246811,87,0,32,59,76.5,24,76.5,13,25,71,62,80
2015,386,278,Pipestone,.73091733,.069725968,0,.13160598,88.971954,143.72849,217.32602,16.012138,2.0059783,87,0,27,57,79.5,25,79.5,11,18,70,64,83
2016,386,278,Pipestone,.7020523,.069867902,.01868229,.15032627,97.350861,234.11449,215.02747,9.7554731,1.7575653,87,.026610967,23,56,63,19,65,18,58,59,15,69
2017,386,278,Pipestone,.69875932,.069867902,.020864163,.15880637,87.123695,238.26576,111.14262,15.278319,.96813279,87,.029858869,19,56,69,20,71,11,39,6,29,8
2018,386,278,Pipestone,.63267851,.069867902,.020864163,.12401576,93.702591,162.06181,117.88715,8.7885876,.99082673,87,.03297751,27,54,70,27,70,12,13,5,15,14
2012,1934,1538,Polk,.67217314,.091556288,,.13579763,99.877907,280.48486,,75.470818,,87,,31,46,,13,,33,56,,58,
2013,1934,1538,Polk,.69382524,.088741392,.028736901,.13579763,103.16509,161.1049,139.57458,16.931854,1.1521466,87,.041418068,32,48,23,12,26,26,40,13,32,13
2014,1934,1538,Polk,.77834749,.15550621,.075311199,.13760413,99.978294,145.53317,122.2756,12.685218,1.0197728,87,.096757807,25,28,19,20,25,32,18,8,40,5
2015,1934,1538,Polk,.79085308,.16424896,.070814118,.13985248,107.6451,164.50102,135.81902,11.55902,1.0733697,87,.089541435,15,24,23,21,28,49,32,15,32,8
2016,1934,1538,Polk,.70023453,.18062824,.16056639,.10139711,127.70602,210.05212,171.14201,22.377535,1.243313,87,.22930373,24,17,7,41,16,61,48,40,53,33
2017,1934,1538,Polk,.70769036,.21382858,.1778141,.10139711,115.92133,262.15479,170.6808,40.668449,1.344645,87,.25125974,17,16,9,45,19,53,49,42,62,53
2018,1934,1538,Polk,.65771502,.093907021,.062943839,.19653636,100.89811,200.43604,131.52068,10.751065,.96885645,87,.095700778,22,45,44,8,50,22,40,15,29,8
2012,2266,1906,Pope,.52736568,.10681005,,.07591249,92.528793,194.27097,,46.612251,,87,,53,39,,33,,11,19,,35,
2013,2266,1906,Pope,.61860561,.12125207,5.3081760e-07,.07591249,100.47206,153.94382,168.06342,18.305519,1.4682705,87,8.5808728e-07,44,32,45,33,45,21,27,28,40,36
2014,2266,1906,Pope,.54071939,.074592479,5.3081760e-07,.07591249,105.24128,165.39117,176.87479,17.821625,1.5033709,87,9.8168778e-07,64,57,56,52,56,46,35,38,67,49
2015,2266,1906,Pope,.49689317,.083548948,5.3174580e-07,.035605043,109.20672,167.26396,170.32317,26.135218,1.4756001,87,1.0701411e-06,68,48,63,78,63,52,35,45,83,59
2016,2266,1906,Pope,.45215204,.094776161,6.0615075e-06,.051627211,108.55676,178.50948,120.05265,27.007513,2.0261266,87,.000013405906,73,47,73,69,73,35,18,2,61,73
2017,2266,1906,Pope,.46348268,.094776116,3.0755123e-26,.055430517,113.99661,231.66647,149.43941,55.972668,1.1419928,87,6.6356576e-26,67,47,82,70,82,52,35,27,71,24
2018,2266,1906,Pope,.47534874,.094775647,2.7106867e-20,.030211071,126.73515,233.90219,164.65323,22.774673,1.1569438,87,5.7025224e-20,59,43,80,81,80,56,64,46,79,44
2012,37163,26404,Ramsey,.42799547,.23121957,,.028224938,191.60179,241.31995,,10.111344,,87,,76,7,,61,,83,45,,1,
2013,37163,26404,Ramsey,.45023069,.25807378,.111762,.03003771,200.89011,250.78172,271.12259,9.5809317,1.4068601,87,.24823275,77,4,5,59,4,83,80,72,2,30
2014,37163,26404,Ramsey,.45934701,.27214146,.12994209,.039297726,201.22707,253.88579,270.1785,8.1213646,1.3875312,87,.28288436,81,9,7,74,3,85,82,77,6,36
2015,37163,26404,Ramsey,.4430739,.26970354,.14412622,.045270257,206.10054,263.04803,274.98416,7.7640243,1.3627907,87,.3252871,81,7,3,68,1,85,80,82,4,44
2016,37163,26404,Ramsey,.43737823,.26244852,.15259387,.059474941,208.95592,275.94485,279.6727,7.4686747,1.3217574,87,.34888309,78,7,8,62,4,84,70,74,4,42
2017,37163,26404,Ramsey,.45958534,.28890017,.15613626,.066968776,207.54887,270.53122,275.28018,7.364687,1.265046,87,.33973289,70,6,14,64,6,84,52,75,2,46
2018,37163,26404,Ramsey,.37784746,.24782091,.14669181,.032619733,250.63469,314.60007,318.98697,7.4928193,1.3732437,87,.38823023,82,12,11,80,3,85,83,81,5,66
2012,250,143,Red Lake,1.4801029,.10073082,,.7319991,84.309204,397.01013,,62.520679,,87,,1,41,,1,,3,74,,48,
2013,250,143,Red Lake,1.495304,.10073082,0,.7319991,82.255585,124.47134,192.38875,17.131367,2.0618424,87,0,2,40,70.5,2,70.5,2,9,34,34,67
2014,250,143,Red Lake,1.5888512,.10073082,.039587613,.89363873,78.612755,123.7924,129.54834,10.841484,1.3715661,87,.024915872,1,47,37,1,47,2,5,12,22,34
2015,250,143,Red Lake,1.595021,.09904407,.047505137,.90383178,80.535645,127.51857,141.54834,10.841484,1.4512427,87,.029783392,1,43,34,1,52,4,5,22,27,57
2016,250,143,Red Lake,1.6178797,.1058965,.047505137,.90383178,97.540222,438.31573,146.35799,11.022635,1.1459759,87,.029362587,1,42,48,1,63,19,83,15,24,20
2017,250,143,Red Lake,1.6252035,.14002782,.057006162,.90383178,87.528481,424.07642,133.50558,10.841484,1.177706,87,.035076324,1,34,53,1,69,12,75,18,18,33
2018,250,143,Red Lake,1.5708685,.1058965,,.90383178,89.051773,150.79474,,10.841484,,87,,1,41,,1,,5,3,,32,
2012,1576,1222,Redwood,.60522842,.0030676336,,.04423245,99.090141,408.84155,,123.13905,,87,,40,75,,51,,25,75,,74,
2013,1576,1222,Redwood,.6653651,.044744138,0,.022352288,104.13258,117.71736,213.45758,44.327938,2.0129821,87,0,34,62,70.5,62,70.5,28,5,47,77,63
2014,1576,1222,Redwood,.67175764,.0030676336,5.5245988e-37,.082514063,97.524818,151.59435,137.52005,19.606455,1.2724007,87,8.2240956e-37,42,76,65,49,65,26,21,13,75,24
2015,1576,1222,Redwood,.63360715,.0030641546,5.6063337e-37,.079379797,99.630753,158.34486,145.98227,21.424692,1.3662632,87,8.8482801e-37,42,75,71,47,71,32,26,27,78,46
2016,1576,1222,Redwood,.55347168,.0022069304,.017611586,.099165417,105.92328,188.12587,191.62016,44.943775,1.5312217,87,.031820212,48,74,64,44,61,31,29,49,78,58
2017,1576,1222,Redwood,.51431257,.0028694468,.027467187,.082569972,98.988235,401.9473,203.94228,71.564034,1.7455308,87,.053405631,53,74,65,57,63,31,73,60,76,73
2018,1576,1222,Redwood,.49677354,.0025333592,.024660321,.082569972,102.30922,164.93129,142.14073,18.79921,1.2133607,87,.049640972,54,74,69,46,69,25,14,21,73,49
2012,877,629,Renville,.9167223,.077846564,,.22872485,99.755348,298.07126,,70.430428,,87,,5,52,,4,,31,62,,53,
2013,877,629,Renville,2.3934417,.077846937,2.2221454e-07,1.6976535,101.70388,145.8588,162.94835,26.401539,1.4182876,87,9.2843095e-08,1,52,46,1,46,23,18,25,62,32
2014,877,629,Renville,.83604097,.11214487,2.2221454e-07,.12525685,97.896706,176.42215,198.44975,12.412304,1.7085571,87,2.6579383e-07,19,43,58,26,57,27,48,45,35,60
2015,877,629,Renville,.79882616,.14825554,2.2216878e-07,.096902989,98.905304,161.01033,183.29323,13.22956,1.5968369,87,2.7811905e-07,13,28,65,36,64,30,28,56,45,69
2016,877,629,Renville,.66539931,.13717189,3.8452791e-07,.11179522,81.220543,171.97739,197.41791,11.748839,1.9446013,87,5.7789043e-07,31,31,75,35,75,5,15,53,25,71
2017,877,629,Renville,.72486365,.22740398,2.4115830e-06,.088675357,88.563255,196.55542,208.15804,20.831375,1.6210393,87,3.3269471e-06,13,13,77,53,77,14,13,63,36,70
2018,877,629,Renville,.6433804,.15307423,3.5526368e-06,.088675372,95.127258,159.1763,177.30956,13.097837,1.4125059,87,5.5218293e-06,24,29,77,42,77,15,9,55,47,71
2012,3960,2862,Rice,.48357192,.11381342,,.030959275,135.21895,184.05891,,19.187723,,87,,64,32,,60,,75,12,,12,
2013,3960,2862,Rice,.48593682,.11125102,.014556693,.02438084,136.48425,169.31317,192.92218,13.608056,1.3788669,87,.029955937,68,37,33,60,32,74,50,35,10,29
2014,3960,2862,Rice,.46285143,.10985297,.018314894,.039035954,129.96117,172.83322,155.04437,7.7376595,1.1153082,87,.039569706,80,44,46,75,43,74,44,23,3,10
2015,3960,2862,Rice,.46170139,.11907103,.032681055,.044162374,132.73438,175.71954,138.40688,8.0225487,.94340694,87,.070783965,77,35,44,70,37,73,46,18,6,3
2016,3960,2862,Rice,.42706251,.11955228,.032791611,.038380083,146.67712,200.18921,183.41167,8.7513342,1.2153026,87,.076784104,80,37,55,76,50,75,41,45,11,30
2017,3960,2862,Rice,.41521692,.12378675,.068140291,.04416237,137.6443,193.27708,169.10809,8.9259224,1.127436,87,.1641077,82,37,46,79,33,75,11,38,10,23
2018,3960,2862,Rice,.41002232,.12542978,.067663364,.04416253,145.86847,193.79005,172.22485,8.0225954,1.0943863,87,.16502361,77,36,42,72,26,71,35,50,8,32
2012,612,461,Rock,.80245191,0,,.0325475,99.700211,425.6879,,320.97574,,87,,13,83.5,,58,,30,78,,84,
2013,612,461,Rock,.85060126,0,0,.0325475,105.68061,225.515,336.57703,43.959618,3.1745129,87,0,12,83.5,70.5,57,70.5,31,75,83,76,83
2014,612,461,Rock,.73437262,0,0,5.8760641e-14,107.85651,241.3575,275.09982,40.645435,2.5776083,87,0,31,83.5,76.5,87,76.5,49,77,79,86,84
2015,612,461,Rock,.77517074,0,0,.037083719,101.37402,166.14021,170.13762,18.00432,1.6372983,87,0,19,82.5,79.5,76,79.5,37,34,44,71,73
2016,612,461,Rock,.69536334,0,0,.062356953,109.11112,560.93378,522.88043,16.941998,4.5227475,87,0,25,82,83.5,60,83.5,36,84,81,40,81
2017,612,461,Rock,.67355877,0,.0093230288,.17360793,87.977859,444.2067,119.12065,26.176184,1.0213318,87,.013841448,23,82,74,14,73,13,76,8,46,11
2018,612,461,Rock,.60166663,0,.00065261201,.062356781,98.865181,203.70297,198.14847,14.478985,1.9057493,87,.0010846738,31,82,75,63,75,18,41,67,56,82
2012,296,171,Roseau,.71872407,0,,.099821977,91.236786,1040.0316,,21.835762,,87,,24,83.5,,22,,10,87,,14,
2013,296,171,Roseau,.71366781,0,0,.099821977,94.984169,301.38266,414.16977,15.633017,3.9557924,87,0,30,83.5,70.5,23,70.5,15,86,85,23,86
2014,296,171,Roseau,.72439384,.011975574,.011975574,.11594012,96.008064,222.33963,224.99487,15.590942,2.0883663,87,.016531855,35,74,48,30,48,25,74,61,57,74
2015,296,171,Roseau,.66821063,0,0,.092774682,94.033936,318.66122,204.82608,16.746258,1.9307359,87,0,35,82.5,79.5,41,79.5,22,86,63,66,81
2016,296,171,Roseau,.66120869,0,.016267942,.088914856,89.563705,835.84003,643.31915,76.248421,6.9561043,87,.024603341,32,82,68,47,67,10,86,84,84,85
2017,296,171,Roseau,.56329584,0,.036559138,.092774682,94.683868,1048.4259,108.61247,75.94545,1.0156641,87,.064902201,48,82,63,51,62,25,87,5,78,10
2018,296,171,Roseau,.48437029,0,.035455264,.016118124,110.45203,328.08453,109.43753,43.98394,.98697013,87,.073198676,57,82,65,87,60,41,85,3,87,12
2012,10809,8078,Scott,.58190721,.17928527,,.010939412,187.42653,253.4325,,38.108631,,87,,44,14,,73,,82,51,,27,
2013,10809,8078,Scott,.57859474,.1809992,.048482742,.007296734,191.62987,248.16292,292.90042,16.596693,1.5899408,87,.083793953,52,14,15,77,14,82,79,76,31,43
2014,10809,8078,Scott,.56699318,.18699709,.05207238,.014435405,191.01823,251.121,278.93622,9.9959192,1.5090972,87,.091839515,56,16,26,86,27,82,81,82,14,50
2015,10809,8078,Scott,.52692491,.17476751,.069261223,.015200783,196.76598,266.45868,273.60425,10.562464,1.4482942,87,.1314442,61,19,24,87,20,82,81,80,25,56
2016,10809,8078,Scott,.53378445,.20172006,.070473894,.02147276,202.84676,272.23175,281.19568,8.6975508,1.4202754,87,.13202688,54,13,35,85,33,83,68,75,10,52
2017,10809,8078,Scott,.51459819,.20568855,.083681606,.026157092,199.75122,261.66397,273.28906,8.7079353,1.427987,87,.16261543,52,17,38,83,34,82,48,74,8,60
2018,10809,8078,Scott,.5317378,.23189154,.081307508,.029656187,219.53458,298.53619,300.60373,8.6181669,1.3964963,87,.15290903,45,13,31,82,32,82,80,79,14,68
2012,7902,5831,Sherburne,.51736951,.15025315,,.0073388405,144.83955,199.42366,,25.778992,,87,,54,23,,79,,76,22,,17,
2013,7902,5831,Sherburne,.54134995,.15063682,.019559372,.0095673278,146.3082,204.65201,264.49811,18.243866,1.8406305,87,.036130738,57,22,29,75,28,76,69,70,39,58
2014,7902,5831,Sherburne,.54700089,.16688119,.02054581,.024134384,148.50034,210.8476,242.17302,11.861734,1.5933236,87,.037560835,60,24,45,80,44,78,68,69,32,54
2015,7902,5831,Sherburne,.52267367,.16101462,.023278467,.024042841,146.62434,209.8831,230.59322,11.862366,1.5312185,87,.044537287,63,25,50,84,46,77,68,75,34,65
2016,7902,5831,Sherburne,.50236058,.16923739,.032217335,.023421904,159.64514,220.16478,215.16086,12.618035,1.3083959,87,.064131893,61,20,56,84,53,78,53,60,26,40
2017,7902,5831,Sherburne,.45229685,.16702189,.03971044,.024384752,153.96671,222.90057,200.87204,13.347528,1.2642837,87,.087797292,73,26,62,85,56,78,31,58,24,45
